Definition,NumberScale,IndicatorType,MeasurementType,IsQuickStat,ShortName,IndicatorId,Level1,IndicatorTotalId,Level2,Level3,SDRID,IndicatorOldId,TagIds,DenominatorWeightedId,Label,IndicatorOrder,Denominator,QuickStatOrder,IndicatorSpecial1Id,DenominatorUnweightedId,IndicatorSpecial2Id
Percentage of households using agricultural crop as the main fuel or technology for lighting,1,I,Percent,0,Agricultural crop,HC_LTFL_H_AGR,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHAGR,,,HC_LTFL_H_CDL,Households using agricultural crop for lighting,260461012,Households,,HC_LTFL_H_DKM,HC_LTFL_H_OTH,
Percentage of households using animal dung/waste as the main fuel or technology for lighting,1,I,Percent,0,Animal dung/waste,HC_LTFL_H_DNG,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHDNG,,,HC_LTFL_H_CDL,Households using animal dung/waste for lighting,260461013,Households,,HC_LTFL_H_DKM,HC_LTFL_H_OTH,
Percentage of households using an oil lamp as the main fuel or technology for lighting,1,I,Percent,0,Oil lamp,HC_LTFL_H_OIL,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHOIL,,,HC_LTFL_H_CDL,Households using an oil lamp for lighting,260461014,Households,,HC_LTFL_H_DKM,HC_LTFL_H_OTH,
Percentage of households using a candle as the main fuel or technology for lighting,1,I,Percent,0,Candle,HC_LTFL_H_CDL,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHCDL,,,HC_LTFL_H_CDL,Households using a candle for lighting,260461015,Households,,HC_LTFL_H_DKM,HC_LTFL_H_OTH,
Percentage of households using other fuel as the main fuel or technology for lighting,1,I,Percent,0,Other fuel,HC_LTFL_H_OTH,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHOTH,,,HC_LTFL_H_CDL,Households using other fuel for lighting,260461095,Households,,HC_LTFL_H_DKM,HC_LTFL_H_OTH,
Percentage of households using no lighting in household as the main fuel or technology for lighting,1,I,Percent,0,No lighting in household,HC_LTFL_H_NON,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHNON,,,HC_LTFL_H_CDL,Households using no lighting in household,260461096,Households,,HC_LTFL_H_DKM,HC_LTFL_H_OTH,
Percentage of households with missing information for the main fuel or technology for lighting,1,S,Percent,0,DK/Missing,HC_LTFL_H_DKM,Household Characteristics,HC_LTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHDKM,,,HC_LTFL_H_CDL,Households with missing information for the lighting technology,260461098,Households,,,HC_LTFL_H_OTH,
Percentage of households with missing information for the main fuel for heating,1,S,Percent,0,DK/Missing,HC_LTFL_H_DKM,Household Characteristics,HC_HTFL_H_TOT,Lighting fuel or technology,Households,HCLTFLHDKM,,,HC_HTFL_H_NUM,Households with missing information for the heating fuel,260461098,Households,,,HC_HTFL_H_UNW,
Percentage of households with missing information for the main technology for heating,1,S,Percent,0,DK/Missing,HC_LTFL_H_DKM,Household Characteristics,HC_HTTC_H_TOT,Lighting fuel or technology,Households,HCLTFLHDKM,,,HC_HTTC_H_NUM,Households with missing information for the heating technology,260461098,Households,,,HC_HTTC_H_UNW,
Percentage of households by lighting fuel/technology: total,1,T,Percent,0,Total ,HC_LTFL_H_TOT,Household Characteristics,,Lighting fuel or technology,Households,HCLTFLHTOT,,,HC_LTFL_H_CDL,Households by lighting fuel/technology: Total,260461099,Households,,,HC_LTFL_H_OTH,
Number of households,0,D,Number,0,Number of households,HC_LTFL_H_NUM,Household Characteristics,,Lighting fuel or technology,Households,HCLTFLHNUM,,,,Number of households,260461100,Households,,,HC_LTFL_H_OTH,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),HC_LTFL_H_UNW,Household Characteristics,,Lighting fuel or technology,Households,HCLTFLHUNW,,,HC_LTFL_H_CDL,Number of households (unweighted),260461101,Households,,,,
Percentage of the de jure population living in households using clean fuels and technologies as the main fuel or technology for lighting,1,I,Percent,0,Clean fuels and technologies,HC_LTFL_P_CFT,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPCFT,,,HC_LTFL_P_NUM,Population using clean fuels and technologies for lighting,260462001,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using electricity as the main fuel or technology for lighting,1,I,Percent,0,Electricity,HC_LTFL_P_ELC,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPELC,,,HC_LTFL_P_NUM,Population using electricity for lighting,260462002,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a solar lantern as the main fuel or technology for lighting,1,I,Percent,0,Solar lantern,HC_LTFL_P_SOL,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPSOL,,,HC_LTFL_P_NUM,Population using a solar lantern for lighting,260462003,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a rechargeable flashlight/torch/lantern as the main fuel or technology for lighting,1,I,Percent,0,Rechargeable flashlight/torch/lantern,HC_LTFL_P_REC,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPREC,,,HC_LTFL_P_NUM,Population using a rechargeable flashlight/torch/lantern for lighting,260462004,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a battery powered flashlight/torch/lantern as the main fuel or technology for lighting,1,I,Percent,0,Battery powered flashlight/torch/lantern,HC_LTFL_P_BAT,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPBAT,,,HC_LTFL_P_NUM,Population using a battery powered flashlight/torch/lantern for lighting,260462005,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a biogas lamp as the main fuel or technology for lighting,1,I,Percent,0,Biogas lamp,HC_LTFL_P_BIO,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPBIO,,,HC_LTFL_P_NUM,Population using a biogas lamp for lighting,260462006,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a gasoline lamp as the main fuel or technology for lighting,1,I,Percent,0,Gasoline lamp,HC_LTFL_P_GDS,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPGDS,,,HC_LTFL_P_NUM,Population using a gasoline lamp for lighting,260462007,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a kerosene/paraffin lamp as the main fuel or technology for lighting,1,I,Percent,0,Kerosene/paraffin lamp,HC_LTFL_P_KER,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPKER,,,HC_LTFL_P_NUM,Population using a kerosene/paraffin lamp for lighting,260462008,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using charcoal as the main fuel or technology for lighting,1,I,Percent,0,Charcoal,HC_LTFL_P_CHR,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPCHR,,,HC_LTFL_P_NUM,Population using charcoal for lighting,260462009,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using wood as the main fuel or technology for lighting,1,I,Percent,0,Wood,HC_LTFL_P_WOD,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPWOD,,,HC_LTFL_P_NUM,Population using wood for lighting,260462010,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using straw/shrubs/grass as the main fuel or technology for lighting,1,I,Percent,0,Straw/shrubs/grass,HC_LTFL_P_STR,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPSTR,,,HC_LTFL_P_NUM,Population using straw/shrubs/grass for lighting,260462011,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using agricultural crop as the main fuel or technology for lighting,1,I,Percent,0,Agricultural crop,HC_LTFL_P_AGR,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPAGR,,,HC_LTFL_P_NUM,Population using agricultural crop for lighting,260462012,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using animal dung/waste as the main fuel or technology for lighting,1,I,Percent,0,Animal dung/waste,HC_LTFL_P_DNG,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPDNG,,,HC_LTFL_P_NUM,Population using animal dung/waste for lighting,260462013,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using an oil lamp as the main fuel or technology for lighting,1,I,Percent,0,Oil lamp,HC_LTFL_P_OIL,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPOIL,,,HC_LTFL_P_NUM,Population using an oil lamp for lighting,260462014,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using a candle as the main fuel or technology for lighting,1,I,Percent,0,Candle,HC_LTFL_P_CDL,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPCDL,,,HC_LTFL_P_NUM,Population using a candle for lighting,260462015,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using other fuel as the main fuel or technology for lighting,1,I,Percent,0,Other fuel,HC_LTFL_P_OTH,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPOTH,,,HC_LTFL_P_NUM,Population using other fuel for lighting,260462095,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households using no lighting in household as the main fuel or technology for lighting,1,I,Percent,0,No lighting in household,HC_LTFL_P_NON,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPNON,,,HC_LTFL_P_NUM,Population using no lighting in household,260462096,De jure population,,HC_LTFL_P_DKM,HC_LTFL_P_UNW,
Percentage of the de jure population living in households with missing information for the main technology for heating,1,S,Percent,0,DK/Missing,HC_LTFL_P_DKM,Household Characteristics,HC_HTTC_P_TOT,Lighting fuel or technology,Population,HCLTFLPDKM,,,HC_HTTC_P_NUM,Population with missing information for the heating technology,260462098,De jure population,,,HC_HTTC_P_UNW,
Percentage of the de jure population living in households with missing information for the main fuel for heating,1,S,Percent,0,DK/Missing,HC_LTFL_P_DKM,Household Characteristics,HC_HTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPDKM,,,HC_HTFL_P_NUM,Population with missing information for the heating fuel,260462098,De jure population,,,HC_HTFL_P_UNW,
Percentage of the de jure population living in households with missing information for the main fuel or technology for lighting,1,S,Percent,0,DK/Missing,HC_LTFL_P_DKM,Household Characteristics,HC_LTFL_P_TOT,Lighting fuel or technology,Population,HCLTFLPDKM,,,HC_LTFL_P_NUM,Population with missing information for the lighting technology,260462098,De jure population,,,HC_LTFL_P_UNW,
Percentage of the de jure population living in households by lighting fuel/technology: total,1,T,Percent,0,Total ,HC_LTFL_P_TOT,Household Characteristics,,Lighting fuel or technology,Population,HCLTFLPTOT,,,HC_LTFL_P_NUM,Population by lighting fuel/technology: Total,260462099,De jure population,,,HC_LTFL_P_UNW,
Number of de jure persons,0,D,Number,0,Number of households,HC_LTFL_P_NUM,Household Characteristics,,Lighting fuel or technology,Population,HCLTFLPNUM,,,,Number of persons,260462100,De jure population,,,HC_LTFL_P_UNW,
Number of de jure persons (unweighted),0,U,Number,0,Number of households (unweighted),HC_LTFL_P_UNW,Household Characteristics,,Lighting fuel or technology,Population,HCLTFLPUNW,,,HC_LTFL_P_NUM,Number of persons (unweighted),260462101,De jure population,,,,
Percentage of the de jure population with primary reliance on clean fuels and technologies for cooking,1,I,Percent,0,Primary reliance on clean fuels and technologies for cooking,HC_CLFT_P_CFC,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPCFC,,,HC_CLFT_P_NMC,Population with primary reliance on clean fuels and technologies for cooking,260472001,De jure population that reported cooking in the house,,,HC_CLFT_P_UNC,
Percentage of the de jure population with primary reliance on solid fuels for cooking,1,I,Percent,0,Primary reliance on solid fuels for cooking,HC_CLFT_P_SFC,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPSFC,,,HC_CLFT_P_NMC,Population with primary reliance on solid fuels for cooking,260472002,De jure population that reported cooking in the house,,,HC_CLFT_P_UNC,
Number of de jure persons in households that reported cooking in the house,0,D,Number,0,Persons in households that reported cooking in the house,HC_CLFT_P_NMC,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPNMC,,,,Number of persons in households that reported cooking in the house,260472003,De jure population that reported cooking in the house,,,HC_CLFT_P_UNC,
Number of de jure persons in households that reported cooking in the house (unweighted),0,U,Number,0,Persons in households that reported cooking in the house (unweighted),HC_CLFT_P_UNC,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPUNC,,,HC_CLFT_P_NMC,Number of persons in households that reported cooking in the house (unweighted),260472004,De jure population that reported cooking in the house,,,,
Percentage of the de jure population with primary reliance on clean fuels and technologies for space heating,1,I,Percent,0,Primary reliance on clean fuels and technologies for space heating,HC_CLFT_P_CFH,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPCFH,,,HC_CLFT_P_NMH,Population with primary reliance on clean fuels and technologies for space heating,260472005,De jure population that reported use of space heating,,,HC_CLFT_P_UNH,
Number of de jure persons in households that reported use of space heating,0,D,Number,0,Persons in households that reported use of space heating,HC_CLFT_P_NMH,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPNMH,,,,Number of persons in households that reported use of space heating,260472006,De jure population that reported use of space heating,,,HC_CLFT_P_UNH,
Number of de jure persons in households that reported use of space heating (unweighted),0,U,Number,0,Persons in households that reported use of space heating (unweighted),HC_CLFT_P_UNH,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPUNH,,,HC_CLFT_P_NMH,Number of persons in households that reported use of space heating (unweighted),260472007,De jure population that reported use of space heating,,,,
Percentage of the de jure population with primary reliance on clean fuels and technologies for lighting,1,I,Percent,0,Primary reliance on clean fuels and technologies for lighting,HC_CLFT_P_CFL,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPCFL,,,HC_CLFT_P_NML,Population with primary reliance on clean fuels and technologies for lighting,260472008,De jure popuation that reported use of lighting,,,HC_CLFT_P_UNL,
Number of de jure persons in households that reported use of lighting,0,D,Number,0,Persons in households that reported use of lighting,HC_CLFT_P_NML,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPNML,,,,Number of persons in households that reported use of lighting,260472009,De jure popuation that reported use of lighting,,,HC_CLFT_P_UNL,
Number of de jure persons in households that reported use of lighting (unweighted),0,U,Number,0,Persons in households that reported use of lighting (unweighted),HC_CLFT_P_UNL,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPUNL,,,HC_CLFT_P_NML,Number of persons in households that reported use of lighting (unweighted),260472010,De jure popuation that reported use of lighting,,,,
"Percentage of the de jure population with primary reliance on clean fuels and technologies for cooking, space heating, and lighting",1,I,Percent,0,"Primary reliance on clean fuels and technologies for cooking, space heating, and lighting",HC_CLFT_P_CFA,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPCFA,,,HC_CLFT_P_NMA,"Population with primary reliance on clean fuels and technologies for cooking, space heating, and lighting",260472011,De jure population,,,HC_CLFT_P_UNA,
Number of de jure persons,0,D,Number,0,Number of persons,HC_CLFT_P_NMA,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPNMA,,,,Number of persons,260472012,De jure population,,,HC_CLFT_P_UNA,
Number of de jure persons (unweighted),0,U,Number,0,Number of persons (unweighted),HC_CLFT_P_UNA,Household Characteristics,,Clean fuels and technologies,Population,HCCLFTPUNA,,,HC_CLFT_P_NMA,Number of persons (unweighted),260472013,De jure population,,,,
Percentage of households with smoking in the household daily,1,I,Percent,0,Daily,HC_SMKH_H_DLY,Household Characteristics,HC_CHAR_H_TOT,Frequency of smoking in the home,Households,HCSMKHHDLY,,,HC_CHAR_H_NUM,Households with smoking in the household daily,260491010,Households,,HC_SMKH_H_DKM,HC_CHAR_H_UNW,
Percentage of households with smoking in the household weekly,1,I,Percent,0,Weekly,HC_SMKH_H_WLY,Household Characteristics,HC_CHAR_H_TOT,Frequency of smoking in the home,Households,HCSMKHHWLY,,,HC_CHAR_H_NUM,Households with smoking in the household weekly,260491020,Households,,HC_SMKH_H_DKM,HC_CHAR_H_UNW,
Percentage of households with smoking in the household monthly,1,I,Percent,0,Monthly,HC_SMKH_H_MLY,Household Characteristics,HC_CHAR_H_TOT,Frequency of smoking in the home,Households,HCSMKHHMLY,,,HC_CHAR_H_NUM,Households with smoking in the household monthly,260491030,Households,,HC_SMKH_H_DKM,HC_CHAR_H_UNW,
Percentage of households with smoking in the household less than monthly,1,I,Percent,0,Less than monthly,HC_SMKH_H_LES,Household Characteristics,HC_CHAR_H_TOT,Frequency of smoking in the home,Households,HCSMKHHLES,,,HC_CHAR_H_NUM,Households with smoking in the household less than monthly,260491040,Households,,HC_SMKH_H_DKM,HC_CHAR_H_UNW,
Percentage of households with no smoking in the household ever,1,I,Percent,0,Never,HC_SMKH_H_NEV,Household Characteristics,HC_CHAR_H_TOT,Frequency of smoking in the home,Households,HCSMKHHNEV,,,HC_CHAR_H_NUM,Households with no smoking in the household ever,260491050,Households,,HC_SMKH_H_DKM,HC_CHAR_H_UNW,
Percentage of households with 'don't know' or missing information of the frequency of smoking in the household,1,S,Percent,0,Don't know or missing,HC_SMKH_H_DKM,Household Characteristics,,Frequency of smoking in the home,Households,HCSMKHHDKM,,,HC_CHAR_H_NUM,Households with don't know or missing information of the frequency of smoking in the household,260491060,Households,,,HC_CHAR_H_UNW,
Percentage of the de jure population living in households with smoking in the household daily,1,I,Percent,0,Daily,HC_SMKH_P_DLY,Household Characteristics,HC_CHAR_P_TOT,Frequency of smoking in the home,Population,HCSMKHPDLY,,,HC_CHAR_P_NUM,Population with smoking in the household daily,260492010,De jure population,,HC_SMKH_P_DKM,HC_CHAR_P_UNW,
Percentage of the de jure population living in households with smoking in the household weekly,1,I,Percent,0,Weekly,HC_SMKH_P_WLY,Household Characteristics,HC_CHAR_P_TOT,Frequency of smoking in the home,Population,HCSMKHPWLY,,,HC_CHAR_P_NUM,Population with smoking in the household weekly,260492020,De jure population,,HC_SMKH_P_DKM,HC_CHAR_P_UNW,
Percentage of the de jure population living in households with smoking in the household monthly,1,I,Percent,0,Monthly,HC_SMKH_P_MLY,Household Characteristics,HC_CHAR_P_TOT,Frequency of smoking in the home,Population,HCSMKHPMLY,,,HC_CHAR_P_NUM,Population with smoking in the household monthly,260492030,De jure population,,HC_SMKH_P_DKM,HC_CHAR_P_UNW,
Percentage of the de jure population living in households with smoking in the household less than monthly,1,I,Percent,0,Less than monthly,HC_SMKH_P_LES,Household Characteristics,HC_CHAR_P_TOT,Frequency of smoking in the home,Population,HCSMKHPLES,,,HC_CHAR_P_NUM,Population with smoking in the household less than monthly,260492040,De jure population,,HC_SMKH_P_DKM,HC_CHAR_P_UNW,
Percentage of the de jure population living in households with no smoking in the household ever,1,I,Percent,0,Never,HC_SMKH_P_NEV,Household Characteristics,HC_CHAR_P_TOT,Frequency of smoking in the home,Population,HCSMKHPNEV,,,HC_CHAR_P_NUM,Population with no smoking in the household ever,260492050,De jure population,,HC_SMKH_P_DKM,HC_CHAR_P_UNW,
Percentage of the de jure population living in households with 'don't know' or missing information of the frequency of smoking in the household,1,S,Percent,0,Don't know or missing,HC_SMKH_P_DKM,Household Characteristics,,Frequency of smoking in the home,Population,HCSMKHPDKM,,,HC_CHAR_P_NUM,Population with don't know or missing information of the frequency of smoking in the household,260492060,De jure population,,,HC_CHAR_P_UNW,
Percentage of households total,1,T,Percent,0,Total,HC_CHAR_H_TOT,Household Characteristics,,Household characteristics,Households,HCCHARHTOT,8146000,,HC_CHAR_H_NUM,Households total,260501005,Households,,,HC_CHAR_H_UNW,
Number of households,0,D,Number,0,Number of households,HC_CHAR_H_NUM,Household Characteristics,,Household characteristics,Households,HCCHARHNUM,8146000,,,Number of households,260501010,Households,,,HC_CHAR_H_UNW,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),HC_CHAR_H_UNW,Household Characteristics,,Household characteristics,Households,HCCHARHUNW,,,HC_CHAR_H_NUM,Number of households (unweighted),260501020,Households,,,,
Percentage of the de jure population living in households total,1,T,Percent,0,Total,HC_CHAR_P_TOT,Household Characteristics,,Household characteristics,Population,HCCHARPTOT,,,HC_CHAR_P_NUM,Population total,260502005,De jure population,,,HC_CHAR_P_UNW,
Number of persons,0,D,Number,0,Number of persons,HC_CHAR_P_NUM,Household Characteristics,,Household characteristics,Population,HCCHARPNUM,,,,Number of persons,260502010,De jure population,,,HC_CHAR_P_UNW,
Number of persons (unweighted),0,U,Number,0,Number of persons (unweighted),HC_CHAR_P_UNW,Household Characteristics,,Household characteristics,Population,HCCHARPUNW,,,HC_CHAR_P_NUM,Number of persons (unweighted),260502020,De jure population,,,,
Percentage of households with 1-2 persons per sleeping room,1,I,Percent,0,1-2 persons per sleeping room,HC_PPRM_H_12P,Household Characteristics,HC_PPRM_H_TOT,Persons per sleeping room,Households,HCPPRMH12P,8366000,,HC_PPRM_H_NUM,Households with 1-2 persons per sleeping room,260531010,Households,,HC_PPRM_H_DKM,HC_PPRM_H_UNW,
Percentage of households with 3-4 persons per sleeping room,1,I,Percent,0,3-4 persons per sleeping room,HC_PPRM_H_34P,Household Characteristics,HC_PPRM_H_TOT,Persons per sleeping room,Households,HCPPRMH34P,8366001,,HC_PPRM_H_NUM,Households with 3-4 persons per sleeping room,260531020,Households,,HC_PPRM_H_DKM,HC_PPRM_H_UNW,
Percentage of households with 5-6 persons per sleeping room,1,I,Percent,0,5-6 persons per sleeping room,HC_PPRM_H_56P,Household Characteristics,HC_PPRM_H_TOT,Persons per sleeping room,Households,HCPPRMH56P,8366002,,HC_PPRM_H_NUM,Households with 5-6 persons per sleeping room,260531030,Households,,HC_PPRM_H_DKM,HC_PPRM_H_UNW,
Percentage of households with 7 + persons per sleeping room,1,I,Percent,0,7 + persons per sleeping room,HC_PPRM_H_7PP,Household Characteristics,HC_PPRM_H_TOT,Persons per sleeping room,Households,HCPPRMH7PP,8366003,,HC_PPRM_H_NUM,Households with 7 + persons per sleeping room,260531040,Households,,HC_PPRM_H_DKM,HC_PPRM_H_UNW,
Percentage of households with 'don't know' or missing information on number of rooms for sleeping,1,S,Percent,0,Don't know or missing information on number of rooms for sleeping,HC_PPRM_H_DKM,Household Characteristics,,Persons per sleeping room,Households,HCPPRMHDKM,8366004,,HC_PPRM_H_NUM,Households with don't know or missing information on sleeping rooms,260531050,Households,,,HC_PPRM_H_UNW,
Percentage of households: Total,1,T,Percent,0,Total,HC_PPRM_H_TOT,Household Characteristics,,Persons per sleeping room,Households,HCPPRMHTOT,8367000,,HC_PPRM_H_NUM,Households: Total,260531060,Households,,,HC_PPRM_H_UNW,
Mean number of persons per sleeping room,1,I,Mean,0,Mean number of persons per sleeping room,HC_PPRM_H_MNP,Household Characteristics,HC_PPRM_H_TOT,Persons per sleeping room,Households,HCPPRMHMNP,8367001,88,,Mean number of persons per sleeping room,260531070,Households,,HC_PPRM_H_DKM,,
Number of households,0,D,Number,0,Number of households,HC_PPRM_H_NUM,Household Characteristics,,Persons per sleeping room,Households,HCPPRMHNUM,,,,Number of households,260531080,Households,,,HC_PPRM_H_UNW,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),HC_PPRM_H_UNW,Household Characteristics,,Persons per sleeping room,Households,HCPPRMHUNW,,,HC_PPRM_H_NUM,Number of households (unweighted),260531090,Households,,,,
Percentage of households possessing a radio,1,I,Percent,0,Radio,HC_HEFF_H_RDO,Household Characteristics,,Household effects,Households,HCHEFFHRDO,9124001,,HC_HEFF_H_NUM,Households possessing a radio,260561010,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a television,1,I,Percent,0,Television,HC_HEFF_H_TLV,Household Characteristics,,Household effects,Households,HCHEFFHTLV,9124002,89,HC_HEFF_H_NUM,Households possessing a television,260561020,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a mobile telephone,1,I,Percent,0,Mobile telephone,HC_HEFF_H_MPH,Household Characteristics,,Household effects,Households,HCHEFFHMPH,,89,HC_HEFF_H_NUM,Households possessing a mobile telephone,260561030,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a telephone,1,I,Percent,0,Non-mobile telephone,HC_HEFF_H_NPH,Household Characteristics,,Household effects,Households,HCHEFFHNPH,9124003,,HC_HEFF_H_NUM,Households possessing a telephone,260561040,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a computer,0,I,Number,0,Computer,HC_HEFF_H_CMP,Household Characteristics,,Household effects,Households,HCHEFFHCMP,,,HC_HEFF_H_NUM,Households possessing a computer,260561045,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a refrigerator,1,I,Percent,0,Refrigerator,HC_HEFF_H_FRG,Household Characteristics,,Household effects,Households,HCHEFFHFRG,9124004,89,HC_HEFF_H_NUM,Households possessing a refrigerator,260561050,Households,,,HC_HEFF_H_UNW,
Number of households,0,D,Number,0,Number of households,HC_HEFF_H_NUM,Household Characteristics,,Household effects,Households,HCHEFFHNUM,9124009,,,Number of households,260561110,Households,,,HC_HEFF_H_UNW,
Number of households (unweighted),0,U,Number,0,Number of households (unweighted),HC_HEFF_H_UNW,Household Characteristics,,Household effects,Households,HCHEFFHUNW,,,HC_HEFF_H_NUM,Number of households (unweighted),260561120,Households,,,,
Percentage of households possessing a bicycle,1,I,Percent,0,Bicycle,HC_TRNS_H_BIK,Household Characteristics,,Household means of transport,Households,HCTRNSHBIK,9124005,,HC_HEFF_H_NUM,Households possessing a bicycle,260601010,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing an animal drawn cart,1,I,Percent,0,Animal drawn cart,HC_TRNS_H_CRT,Household Characteristics,,Household means of transport,Households,HCTRNSHCRT,,,HC_HEFF_H_NUM,Households possessing an animal drawn cart,260601020,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a motorcycle,1,I,Percent,0,Motorcycle/scooter,HC_TRNS_H_SCT,Household Characteristics,,Household means of transport,Households,HCTRNSHSCT,9124006,,HC_HEFF_H_NUM,Households possessing a motorcycle,260601030,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a private car,1,I,Percent,0,Car/truck,HC_TRNS_H_CAR,Household Characteristics,,Household means of transport,Households,HCTRNSHCAR,9124007,,HC_HEFF_H_NUM,Households possessing a private car,260601040,Households,,,HC_HEFF_H_UNW,
Percentage of households possessing a boat with a motor,1,I,Percent,0,Boat with a motor,HC_TRNS_H_BTM,Household Characteristics,,Household means of transport,Households,HCTRNSHBTM,,,HC_HEFF_H_NUM,Households possessing a boat with a motor,260601050,Households,,,HC_HEFF_H_UNW,
Percentage of households owning agricultural land,1,I,Percent,0,Ownership of agricultural land,HC_AGON_H_LND,Household Characteristics,,Agricultural ownership,Households,HCAGONHLND,,,HC_HEFF_H_NUM,Households owning agricultural land,260631010,Households,,,HC_HEFF_H_UNW,
"Percentage of households owning farm animals including cattle, cows, bulls, horses, donkeys, goats, sheep, or chickens",1,I,Percent,0,Ownership of farm animals,HC_AGON_H_ANM,Household Characteristics,,Agricultural ownership,Households,HCAGONHANM,,,HC_HEFF_H_NUM,Households owning farm animals,260631020,Households,,,HC_HEFF_H_UNW,
